Frames,ARIEL X,ARIEL Y,ARIEL Z,LFHD X,LFHD Y,LFHD Z,LBHD X,LBHD Y,LBHD Z,RFHD X,RFHD Y,RFHD Z,RBHD X,RBHD Y,RBHD Z,C7 X,C7 Y,C7 Z,T10 X,T10 Y,T10 Z,CLAV X,CLAV Y,CLAV Z,STRN X,STRN Y,STRN Z,LFSH X,LFSH Y,LFSH Z,LBSH X,LBSH Y,LBSH Z,LUPA X,LUPA Y,LUPA Z,LELB X,LELB Y,LELB Z,LIEL X,LIEL Y,LIEL Z,LOWR X,LOWR Y,LOWR Z,LIWR X,LIWR Y,LIWR Z,LWRE X,LWRE Y,LWRE Z,LIHAND X,LIHAND Y,LIHAND Z,LOHAND X,LOHAND Y,LOHAND Z,RFSH X,RFSH Y,RFSH Z,RBSH X,RBSH Y,RBSH Z,RUPA X,RUPA Y,RUPA Z,RELB X,RELB Y,RELB Z,RIEL X,RIEL Y,RIEL Z,ROWR X,ROWR Y,ROWR Z,RIWR X,RIWR Y,RIWR Z,RWRE X,RWRE Y,RWRE Z,RIHAND X,RIHAND Y,RIHAND Z,ROHAND X,ROHAND Y,ROHAND Z,LFWT X,LFWT Y,LFWT Z,LMWT X,LMWT Y,LMWT Z,LBWT X,LBWT Y,LBWT Z,RFWT X,RFWT Y,RFWT Z,RMWT X,RMWT Y,RMWT Z,RBWT X,RBWT Y,RBWT Z,LHIP X,LHIP Y,LHIP Z,LKNE X,LKNE Y,LKNE Z,LKNI X,LKNI Y,LKNI Z,LSHN X,LSHN Y,LSHN Z,LANK X,LANK Y,LANK Z,LHEL X,LHEL Y,LHEL Z,LMT5 X,LMT5 Y,LMT5 Z,LMT1 X,LMT1 Y,LMT1 Z,LTOE X,LTOE Y,LTOE Z,RHIP X,RHIP Y,RHIP Z,RKNE X,RKNE Y,RKNE Z,RKNI X,RKNI Y,RKNI Z,RSHN X,RSHN Y,RSHN Z,RANK X,RANK Y,RANK Z,RHEL X,RHEL Y,RHEL Z,RMT5 X,RMT5 Y,RMT5 Z,RMT1 X,RMT1 Y,RMT1 Z,RTOE X,RTOE Y,RTOE Z
1,-1022.641,1607.72,338.145,-975.593,1544.427,409.925,-882.791,1519.123,344.407,-1061.872,1532.246,265.823,-972.15,1503.187,215.241,-918.895,1348.005,202.299,-912.829,1126.088,147.677,-995.13,1255.608,349.196,-1031.749,1092.114,367.509,-874.446,1243.279,377.148,-794.667,1269.489,227.349,-716.662,1088.285,291.551,-695.486,993.057,317.35,-759.112,972.313,273.087,-645.548,786.909,330.836,-714.107,759.624,373.614,-667.669,861.926,336.15,-661.487,687.248,373.571,-622.102,710.061,331.017,-1103.096,1272.877,265.417,-1020.214,1283.918,114.092,-1160.071,1144.798,107.415,-1211.337,1024.479,143.185,-1136.222,992.218,136.463,-1260.776,829.997,252.358,-1253.935,869.774,321.269,-1253.209,926.31,219.65,-1282.808,826.467,338.555,-1283.883,770.583,296.549,-919.131,919.447,381.549,-1064.433,921.764,375.867,-857.487,918.014,206.542,-1131.25,931.498,266.178,-948.399,924.14,147.445,-1031.667,930.92,119.019,-936.963,643.534,467.704,-943.4,458.09,487.543,-1049.476,436.694,454.133,-902.219,324.681,453.238,-920.557,76.232,444.295,-906.889,34.559,364.565,-996.265,39.544,561.357,-1060.931,37.649,489.345,-1074.938,36.596,566.73,-1117.458,572.474,195.18,-1128.914,411.317,284.814,-1042.763,398.836,348.779,-1077.571,241.628,210.897,-1006.722,119.118,72.057,-914.621,97.461,31.69,-1092.392,67.533,157.149,-1032.306,54.515,201.212,-1080.202,40.715,222.646
2,-1024.731,1610.971,341.064,-977.505,1547.707,412.769,-884.516,1522.988,347.319,-1063.587,1535.434,268.596,-973.673,1506.954,218.061,-918.726,1351.509,205.693,-911.711,1129.686,151.18,-997.072,1259.08,351.431,-1033.519,1095.559,369.32,-876.776,1247.104,381.162,-794.699,1273.075,232.545,-717.374,1091.776,300.137,-696.486,996.699,327.902,-759.718,975.141,283.173,-647.683,790.333,346.711,-717.234,764.591,389.031,-669.526,865.676,349.927,-665.356,691.853,391.652,-625.131,713.082,349.091,-1103.638,1276.021,265.767,-1018.554,1287.506,116.069,-1157.447,1148.496,105.8,-1208.822,1027.656,139.741,-1133.369,996.009,133.719,-1259.597,830.376,243.148,-1252.696,868.118,313.817,-1251.385,927.426,213.326,-1281.018,823.818,329.756,-1281.414,769.327,285.95,-920.897,922.287,383.966,-1066.013,924.852,377.167,-857.423,921.677,210.01,-1131.612,935.152,266.801,-947.631,927.884,150.05,-1030.604,934.784,120.85,-938.51,644.688,468.016,-943.161,458.921,485.765,-1049.028,436.847,451.724,-901.722,324.926,451.319,-920.472,76.444,444.168,-906.779,34.612,364.679,-996.32,39.488,561.26,-1060.905,37.683,489.268,-1074.936,36.605,566.638,-1117.137,576.437,195.32,-1129.663,414.885,284.486,-1044.106,402.229,350.007,-1078.084,244.075,213.242,-1005.244,119.233,77.505,-912.479,96.638,39.243,-1093.151,69.032,161.519,-1033.68,56.287,207.045,-1082.219,42.995,227.536
3,-1026.747,1614.454,343.739,-979.329,1551.296,415.342,-886.2,1527.058,349.896,-1065.284,1538.898,271.153,-975.216,1510.828,220.608,-918.523,1355.208,208.988,-910.619,1133.498,154.536,-998.928,1262.885,353.533,-1035.262,1099.308,370.987,-879.095,1251.266,385.111,-794.763,1276.92,237.725,-717.974,1095.779,308.591,-697.505,1000.832,338.304,-759.899,978.747,293.076,-650.272,794.044,362.414,-720.565,770.398,404.87,-671.506,869.905,363.589,-669.721,697.159,410.033,-628.779,716.403,367.2,-1104.266,1279.504,266.144,-1016.793,1291.311,117.949,-1154.663,1152.586,104.023,-1206.259,1031.222,136.025,-1130.396,1000.097,130.105,-1257.374,831.087,234.028,-1251.506,866.862,305.728,-1249.453,928.997,206.511,-1279.187,821.601,320.225,-1278.789,768.527,274.799,-922.58,925.646,386.577,-1067.498,928.318,378.329,-856.614,925.657,212.938,-1131.795,939.158,267.221,-946.846,931.929,152.515,-1029.459,938.983,122.479,-939.713,645.845,467.93,-942.991,459.842,483.619,-1048.256,437.274,448.484,-901.145,325.282,449.363,-920.291,76.69,444.042,-906.635,34.619,364.716,-996.263,39.487,561.182,-1060.799,37.824,489.236,-1074.873,36.711,566.542,-1117.17,580.641,195.015,-1130.456,418.672,283.756,-1045.226,406.05,350.347,-1078.606,246.597,215.34,-1004.129,119,83.077,-910.822,95.501,46.661,-1093.705,70.258,166.55,-1034.8,57.903,213.141,-1083.792,45.06,232.964
4,-1028.768,1618.045,346.103,-981.148,1555.074,417.716,-887.923,1531.221,352.322,-1066.978,1542.416,273.438,-976.778,1514.717,222.922,-918.341,1359.019,212.139,-909.554,1137.475,157.762,-1000.823,1266.874,355.562,-1037.038,1103.257,372.478,-881.491,1255.662,389.064,-794.862,1280.944,242.88,-718.585,1100.192,317.004,-698.527,1005.359,348.644,-759.421,982.577,302.184,-653.215,798.112,378.22,-724.005,776.736,420.16,-673.693,874.523,377.29,-674.58,703.135,428.86,-633.064,720.052,385.494,-1104.797,1283.321,266.374,-1014.941,1295.262,119.667,-1151.695,1156.881,102.09,-1203.639,1035.088,131.896,-1127.882,1004.68,128.278,-1255.372,832.095,224.175,-1250.214,865.948,297.004,-1247.405,930.932,199.245,-1277.392,819.79,310.012,-1276.097,768.105,263.081,-924.313,929.354,389.032,-1069.001,932.069,379.312,-857.262,929.581,216.621,-1130.823,943.015,266.863,-945.998,936.147,154.863,-1028.278,943.356,123.968,-940.899,647.158,467.862,-942.974,460.882,481.183,-1047.204,437.878,444.649,-900.517,325.685,447.511,-920.102,76.994,443.917,-906.537,34.621,364.839,-996.245,39.596,561.189,-1060.642,37.956,489.173,-1074.808,36.854,566.483,-1117.467,584.975,194.428,-1131.323,422.545,282.664,0,0,0,-1079.197,249.121,217.23,-1003.38,118.522,88.603,-909.701,94.201,53.898,-1094.18,71.237,171.838,-1036.038,59.637,219.192,-1085.186,47.278,238.859
5,-1030.697,1621.62,348.178,-982.905,1558.816,419.76,-889.573,1535.31,354.463,-1068.657,1545.842,275.472,-978.339,1518.481,224.998,-918.109,1362.83,215.142,-908.42,1141.474,160.877,-1002.666,1270.927,357.225,-1038.828,1107.268,373.669,-883.933,1260.046,392.646,-795.047,1284.965,247.995,-719.184,1104.861,325.329,-699.572,1010.088,358.808,-760.02,986.583,311.89,-656.509,802.434,393.919,-727.806,783.599,435.96,-676.019,879.387,390.875,-679.843,709.574,447.626,-637.788,724.063,403.848,-1105.295,1287.163,266.368,-1013.077,1299.196,121.319,-1148.75,1161.278,99.987,-1200.901,1039.084,127.543,-1124.974,1009.183,124.861,-1252.758,833.481,214.106,-1248.992,865.231,287.737,-1245.238,933.02,191.545,-1275.727,818.275,299.121,-1273.519,767.998,250.566,-926.047,933.203,391.208,-1070.52,935.955,379.962,-856.62,933.642,219.233,-1130.852,947.239,266.756,-945.105,940.375,157.094,-1027.056,947.669,125.448,-942.008,648.393,467.221,-942.76,461.913,478.538,-1045.961,438.535,440.562,-899.728,326.079,445.506,-919.822,77.299,443.84,-906.383,34.633,364.884,-996.245,39.66,561.102,-1060.447,37.986,489.07,-1074.737,36.983,566.353,-1117.807,589.29,193.546,-1132.261,426.359,281.108,0,0,0,-1079.903,251.564,218.833,-1002.955,117.787,93.958,-909.031,92.767,60.783,-1094.334,71.721,176.93,-1037.17,61.443,225.317,-1086.505,49.478,244.792
6,-1032.592,1625.08,349.981,-984.65,1562.46,421.619,-891.242,1539.18,356.377,-1070.286,1549.191,277.315,-979.917,1522.031,226.847,-917.825,1366.56,218.012,-907.243,1145.395,163.814,-1004.527,1274.921,358.647,-1040.607,1111.247,374.619,-886.484,1264.359,396.047,-795.238,1288.934,253.008,-719.819,1109.607,333.611,-700.637,1014.861,368.856,-760.198,990.708,321.277,-660.026,806.943,409.681,-732.046,790.883,451.923,-678.532,884.413,404.441,-685.526,716.398,466.424,-643.082,728.371,422.283,-1105.742,1290.974,266.165,-1011.144,1302.976,123.016,-1145.704,1165.687,97.703,-1198.064,1043.101,122.97,-1121.909,1013.646,121.055,-1250.275,834.955,203.391,-1247.938,864.696,277.932,-1242.995,935.253,183.467,-1274.199,817.032,287.662,-1270.697,768.163,237.739,-927.82,937.122,393.126,-1072.031,939.847,380.386,-856.749,937.557,222.388,-1131.019,951.476,266.501,-944.175,944.504,159.156,-1025.718,951.996,126.936,-942.993,649.458,466.31,-942.382,462.897,475.861,-1044.606,439.24,436.338,-899,326.407,443.625,-919.608,77.628,443.792,-906.155,34.71,365.078,-996.302,39.658,561.016,-1060.313,37.873,488.941,-1074.693,36.988,566.21,-1117.906,593.605,192.527,-1133.125,430.078,279.151,0,0,0,-1080.656,253.841,220.266,-1002.879,117.007,99.002,-908.776,91.311,67.242,-1095.08,72.261,181.964,-1038.429,63.149,231.106,-1087.964,51.637,250.418
7,-1034.398,1628.431,351.613,-986.334,1565.99,423.283,-892.886,1542.911,358.061,-1071.893,1552.417,278.995,-981.46,1525.487,228.556,-917.545,1370.178,220.719,-906.001,1149.25,166.663,-1006.359,1278.866,359.869,-1042.474,1115.209,375.417,-889.065,1268.58,399.158,-795.425,1292.839,258.008,-720.437,1114.464,341.916,-701.739,1019.756,378.797,-760.386,994.949,330.636,-663.836,811.704,425.541,-736.547,798.497,467.779,-681.238,889.583,417.99,-691.611,723.631,485.163,-648.744,733.063,440.833,-1106.126,1294.689,265.764,-1009.244,1306.673,124.682,-1142.618,1170.103,95.33,-1195.089,1047.182,118.259,-1118.871,1018.128,117.227,-1247.655,836.634,192.354,-1246.917,864.337,267.719,-1240.58,937.572,175.14,-1272.776,816.059,275.659,-1267.863,768.699,224.462,-929.56,940.93,394.849,-1073.516,943.758,380.556,-856.706,941.33,225.291,-1131.27,955.687,266.099,-943.237,948.563,161.145,-1024.28,956.262,128.002,-943.841,650.416,465.186,-941.867,463.901,473.25,-1043.944,440.336,432.249,-898.414,326.781,441.86,-919.434,78.068,443.911,-905.919,34.926,365.446,-996.332,39.715,561.011,-1060.241,37.789,488.824,-1074.684,36.949,566.098,-1117.723,597.959,191.315,-1133.771,433.724,276.915,-1058.002,421.655,346.526,-1081.546,256.085,221.447,-1003.224,116.352,103.554,-909.001,89.967,73.079,-1096.264,72.929,186.583,-1039.941,64.778,236.332,-1089.506,53.605,255.343
8,-1036.176,1631.656,353.019,-988.016,1569.329,424.707,-894.506,1546.477,359.511,-1073.556,1555.539,280.466,-983.083,1528.78,230.047,-917.25,1373.755,223.297,-904.711,1153.021,169.341,-1008.203,1282.661,360.781,-1044.276,1119.051,375.988,-891.728,1272.695,402.186,-795.665,1296.628,262.876,-721.082,1119.364,350.156,-702.896,1024.648,388.715,-760.533,999.25,339.89,-667.937,816.715,441.467,-741.314,806.315,483.421,-684.12,894.885,431.534,-698.064,731.223,503.766,-654.818,738.148,459.477,-1106.488,1298.265,265.142,-1007.242,1310.37,125.97,-1139.615,1174.485,92.837,-1192.124,1051.221,113.314,-1115.792,1022.576,113.266,-1244.896,838.545,181.054,-1245.955,864.143,257.124,-1238.294,940.027,166.527,-1271.49,815.339,263.215,-1265.141,769.545,210.803,-931.354,944.565,396.301,-1075.018,947.563,380.498,-856.607,945.021,227.987,-1131.614,959.771,265.46,-942.263,952.578,162.947,-1022.856,960.418,128.898,-944.521,651.369,464.081,-941.433,464.938,470.572,-1042.902,441.238,428.348,-897.888,327.376,440.295,-919.338,78.66,444.078,-905.756,35.294,365.849,-996.482,39.728,560.972,-1060.211,37.689,488.753,-1074.766,36.893,565.988,-1117.23,602.284,189.836,-1134.204,437.303,274.365,-1059.358,425.411,344.82,-1082.538,258.297,222.281,-1004.087,115.857,107.466,-909.718,88.842,78.195,-1097.89,73.562,190.535,-1041.938,66.26,240.788,-1092.001,55.693,260.067
9,-1037.951,1634.66,354.278,-989.658,1572.508,426.026,-896.115,1549.842,360.771,-1075.201,1558.479,281.805,-984.638,1531.932,231.37,-916.957,1377.167,225.725,-903.376,1156.617,171.879,-1010.007,1286.247,361.503,-1046.035,1122.704,376.306,-894.41,1276.659,405.032,-795.929,1300.27,267.612,-721.756,1124.238,358.345,-704.063,1029.488,398.578,-760.504,1003.542,349.236,-672.373,821.982,457.452,-746.422,814.354,498.898,-687.24,900.302,445.108,-704.908,739.176,522.26,-661.19,743.571,478.11,-1106.793,1301.631,264.357,-1005.213,1313.9,127.106,-1136.54,1178.706,90.301,-1189.057,1055.135,108.324,-1112.566,1026.849,109.225,-1242.045,840.599,169.596,-1245.375,864.23,246.668,-1236.085,942.559,157.663,-1270.287,814.856,250.439,-1262.4,770.634,196.918,-933.196,947.925,397.62,-1076.539,951.263,380.316,-856.515,948.558,230.552,-1132.038,963.747,264.782,-940.666,956.532,163.981,-1021.417,964.373,129.731,-945.029,652.329,463.146,-940.918,466.075,468.057,-1042.091,442.229,424.896,-897.383,328.124,438.853,-919.325,79.409,444.326,-905.621,35.728,366.351,-996.673,39.808,561.003,-1060.266,37.674,488.711,-1074.923,36.813,565.901,-1116.466,606.38,188.131,-1134.391,440.733,271.745,-1060.509,428.926,343.011,-1083.671,260.548,222.688,-1005.376,115.573,110.707,-910.961,87.904,82.483,-1099.908,74.134,193.647,-1044.344,67.514,244.405,-1094.575,57.314,263.511
10,-1039.636,1637.44,355.43,-991.187,1575.417,427.129,-897.62,1552.945,361.882,-1076.71,1561.166,282.929,-986.125,1534.806,232.51,-916.625,1380.3,227.947,-902.027,1159.886,174.283,-1011.689,1289.648,362.052,-1047.577,1126.096,376.472,-897.042,1280.357,407.671,-796.187,1303.665,272.152,-722.412,1128.918,366.424,-705.234,1034.207,408.422,-760.363,1007.765,358.552,-677.04,827.418,473.474,-751.714,822.545,514.149,-690.548,905.736,458.607,-712.044,747.438,540.569,-667.809,749.324,496.786,-1106.958,1304.775,263.411,-1003.104,1317.13,128.084,-1133.38,1182.738,87.713,-1185.875,1058.876,103.198,-1109.211,1030.852,105.098,-1238.792,842.766,158,-1244.152,864.108,235.309,-1233.481,945.014,148.836,-1269.074,814.591,237.41,-1259.671,771.959,182.846,-934.903,951.047,398.88,-1078,954.777,379.972,-856.402,951.826,232.876,-1132.263,967.437,263.852,-939.687,960.057,165.479,-1019.997,968.039,130.404,-945.354,653.368,462.237,-940.14,467.26,465.697,-1041.242,443.246,421.903,-896.758,328.981,437.494,-919.225,80.157,444.577,-905.435,36.179,366.88,-996.803,39.92,561.094,-1060.259,37.677,488.702,-1075.062,36.761,565.873,-1115.528,610.245,186.121,-1134.388,444.03,269.081,-1061.289,432.165,341.105,-1084.883,262.872,222.577,-1006.984,115.45,113.154,-912.598,87.095,85.834,-1102.349,74.871,195.972,-1047.091,68.715,247.149,-1097.458,58.818,266.019
11,-1041.331,1639.93,356.376,-992.718,1578.044,428.096,-899.1,1555.815,362.835,-1078.228,1563.579,283.883,-987.541,1537.415,233.49,-916.264,1383.185,229.968,-900.71,1162.879,176.526,-1013.303,1292.736,362.396,-1049.119,1129.217,376.425,-899.669,1283.805,410.073,-796.503,1306.785,276.551,-723.209,1133.354,374.423,-706.531,1038.791,418.305,-760.652,1011.59,367.763,-681.95,833.083,489.607,-756.881,830.51,528.781,-694.068,911.215,472.208,-719.481,755.971,558.715,-674.6,755.411,515.497,-1107.04,1307.632,262.309,-1000.81,1320.174,128.676,-1130.154,1186.505,84.963,-1182.63,1062.429,97.946,-1105.824,1034.62,100.992,-1236.012,844.879,146.348,-1243.16,864.215,224.005,-1230.652,947.391,139.946,-1267.892,814.512,224.165,-1256.952,773.451,168.655,-936.616,953.92,400.03,-1079.442,958.048,379.619,-856.308,954.802,235.036,-1132.444,970.818,262.867,-938.735,963.256,166.797,-1018.615,971.378,130.902,-945.535,654.397,461.491,-939.366,468.485,463.615,-1040.308,444.26,419.438,-896.046,329.868,436.237,-919.136,80.881,444.876,-905.334,36.623,367.37,-996.906,40.05,561.268,-1060.177,37.682,488.703,-1075.147,36.711,565.843,-1114.54,613.728,183.965,-1134.234,447.156,266.318,-1061.9,435.122,339.105,-1086.212,265.156,221.811,-1008.841,115.536,114.796,-914.564,86.367,88.337,-1104.916,75.715,197.412,-1050.103,70.118,249.138,-1100.959,60.672,267.892
12,-1042.954,1642.103,357.166,-994.181,1580.369,428.892,-900.469,1558.374,363.653,-1079.635,1565.662,284.625,-988.874,1539.754,234.243,-915.83,1385.776,231.771,-899.307,1165.57,178.569,-1014.781,1295.472,362.565,-1050.527,1131.978,376.209,-902.242,1286.901,412.233,-796.797,1309.595,280.71,-724.128,1137.508,382.318,-707.911,1043.243,428.247,-760.992,1015.212,377.046,-687.171,838.901,505.696,-762.679,838.699,543.361,-697.796,916.75,485.744,-727.123,764.678,576.556,-681.55,761.896,534.241,-1106.902,1310.052,260.922,-998.559,1322.856,129.284,-1126.816,1189.944,82.217,-1179.318,1065.721,92.639,-1102.441,1038.093,96.926,-1232.936,847.048,134.616,-1242.104,864.335,212.55,-1227.708,949.623,130.927,-1266.699,814.558,210.768,-1254.206,775.063,154.438,-938.244,956.529,401.327,-1080.835,960.909,379.099,-856.208,957.47,237.036,-1132.598,973.855,261.803,-937.863,966.072,168.018,-1017.246,974.411,131.264,-945.609,655.438,460.826,-938.416,469.59,461.803,-1039.348,445.185,417.515,-895.224,330.689,435.052,-918.951,81.601,445.138,-905.244,37.097,367.844,-996.97,40.148,561.435,-1060.022,37.698,488.743,-1075.188,36.635,565.837,-1113.586,616.876,181.775,-1134.132,450.034,263.552,-1062.37,437.78,336.937,-1087.617,267.333,220.473,-1010.798,115.78,115.64,-916.66,85.761,89.99,-1107.589,76.85,197.931,-1053.13,71.502,250.167,-1103.542,62.071,268.245
13,-1044.53,1643.975,357.756,-995.613,1582.369,429.506,-901.819,1560.654,364.334,-1080.951,1567.404,285.205,-990.106,1541.737,234.861,-915.005,1388.124,233.217,-897.701,1167.912,180.294,-1016.219,1297.802,362.527,-1051.911,1134.333,375.836,-904.714,1289.607,414.092,-797.03,1312.049,284.619,-725.11,1141.37,390.109,-709.469,1047.538,438.214,-761.477,1018.606,386.408,-692.569,844.876,521.819,-768.915,846.86,557.74,-701.711,922.294,499.297,-735.074,773.525,594.104,-688.616,768.703,552.976,-1106.669,1312.132,259.379,-996.245,1325.179,129.732,-1123.332,1193.005,79.374,-1175.924,1068.727,87.251,-1099.04,1041.222,92.918,-1229.769,849.16,122.889,-1241.084,864.447,200.955,-1224.719,951.691,121.839,-1265.495,814.669,197.257,-1251.447,776.702,140.218,-939.911,958.731,402.373,-1082.242,963.365,378.532,-856.111,959.711,238.9,-1132.727,976.495,260.706,-936.978,968.487,169.126,-1015.952,977.014,131.537,-945.65,656.458,460.419,-937.444,470.527,460.266,-1038.452,445.967,416.06,-894.469,331.457,433.976,-918.841,82.33,445.45,-905.103,37.537,368.412,-997.069,40.158,561.612,-1059.95,37.696,488.76,-1075.234,36.506,565.836,-1112.697,619.654,179.678,-1134.03,452.573,260.752,-1062.892,440.012,334.568,-1089.047,269.271,218.764,-1012.771,116.115,115.734,-918.739,85.364,90.793,-1110.339,78.03,197.659,-1056.164,72.759,250.308,-1106.577,63.515,267.947
14,-1046.055,1645.592,358.137,-997.048,1584.121,429.966,-903.134,1562.664,364.917,-1082.19,1568.909,285.561,-991.24,1543.475,235.35,-914.434,1390.033,234.599,-896.061,1169.913,181.788,-1017.62,1299.828,362.329,-1053.31,1136.377,375.301,-907.098,1291.954,415.656,-797.202,1314.153,288.284,-725.942,1144.975,397.947,-711.23,1051.694,448.257,-762.016,1021.8,395.791,-698.033,851.05,537.961,-775.34,855.001,571.808,-705.898,927.879,512.917,-743.271,782.504,611.351,-695.877,775.881,571.584,-1106.451,1313.989,257.772,-993.872,1327.097,130.019,-1119.695,1195.762,76.534,-1172.547,1071.518,81.835,-1095.653,1044.067,88.95,-1226.59,851.306,110.926,-1240.046,864.622,189.263,-1221.647,953.661,112.668,-1264.26,814.897,183.689,-1248.624,778.433,126.109,-941.572,960.61,403.165,-1083.658,965.423,377.898,-856.012,961.612,240.717,-1132.859,978.769,259.493,-936.142,970.522,170.141,-1014.674,979.247,131.779,-945.916,657.472,460.496,-936.62,471.408,459.197,-1037.807,446.684,414.964,-893.91,332.194,433.296,-918.775,83.052,445.869,-904.966,38.019,369.053,-997.219,40.184,561.8,-1059.858,37.663,488.839,-1075.339,36.382,565.872,-1111.978,622.138,177.657,-1134.141,454.746,257.885,-1063.548,441.92,332.04,-1090.483,270.976,216.746,-1014.681,116.579,115.092,-920.761,85.228,90.821,-1112.86,78.909,196.439,-1059.172,73.77,249.539,-1109.858,64.828,266.96
15,-1047.505,1647.014,358.37,-998.459,1585.687,430.269,-904.408,1564.452,365.377,-1083.356,1570.208,285.777,-992.259,1544.983,235.669,-913.752,1391.7,235.806,-894.564,1171.556,183.364,-1018.915,1301.567,361.954,-1054.647,1138.095,374.631,-909.388,1294.022,416.947,-797.336,1315.998,291.649,-726.926,1148.336,405.69,-713.218,1055.737,458.317,-762.609,1024.736,405.281,-703.477,857.45,554.061,-782.032,863.04,585.473,-710.305,933.585,526.488,-751.626,791.624,628.202,-703.332,783.345,589.919,-1106.137,1315.553,256.037,-991.55,1328.751,130.208,-1115.82,1198.055,73.915,-1169.064,1074.094,76.37,-1092.314,1046.602,85.013,-1223.338,853.344,99.208,-1238.99,864.852,177.524,-1218.742,955.603,103.33,-1262.974,815.225,170.11,-1245.702,780.159,112.1,-943.199,962.241,403.87,-1085.066,967.157,377.197,-855.882,963.199,242.523,-1132.947,980.647,258.284,-935.225,972.269,171.096,-1013.341,981.124,131.947,-946.262,658.376,460.647,-936.071,472.225,458.446,-1037.391,447.215,414.152,-893.549,332.936,432.994,-918.775,83.817,446.456,-904.768,38.57,369.777,-997.376,40.268,562.099,-1059.816,37.692,488.94,-1075.488,36.26,565.919,-1111.399,624.306,175.703,-1134.332,456.579,255.028,-1064.302,443.459,329.37,-1091.916,272.491,214.482,-1016.543,117.172,113.794,-922.696,85.485,90.004,-1115.435,79.585,194.706,-1061.921,74.531,248.049,-1112.781,65.68,265.256
16,-1048.893,1648.233,358.414,-999.803,1587.047,430.412,-905.605,1566.016,365.625,-1084.442,1571.348,285.779,-993.199,1546.343,235.822,-913.057,1393.134,236.735,-893.128,1172.885,184.812,-1020.187,1302.995,361.317,-1055.938,1139.558,373.818,-911.581,1295.771,417.893,-797.443,1317.533,294.634,-728.127,1151.388,413.267,-715.433,1059.7,468.356,-763.373,1027.417,414.89,-709.273,864.039,569.982,-788.873,870.968,598.778,-714.956,939.323,539.974,-760.181,800.829,644.63,-710.856,790.951,608.005,-1105.794,1316.869,254.085,-989.176,1330.073,130.238,-1111.954,1200.09,71.137,-1165.572,1076.45,70.791,-1088.978,1048.856,81.049,-1220.068,855.379,87.624,-1237.925,865.095,165.72,-1215.384,957.354,94.089,-1261.64,815.656,156.504,-1242.691,781.957,98.204,-944.994,963.657,404.918,-1086.457,968.573,376.432,-855.671,964.47,244.193,-1133.007,982.178,256.999,-934.269,973.683,171.974,-1011.964,982.645,132.064,-946.918,659.13,461.019,-935.801,472.984,458.088,-1037.252,447.651,413.496,-893.423,333.697,433.051,-918.712,84.575,447.074,-904.446,39.13,370.533,-997.634,40.373,562.355,-1059.769,37.731,489.015,-1075.676,36.172,565.976,-1111.016,626.26,173.707,-1134.422,458.034,252.181,-1065.298,444.742,326.672,-1093.339,273.884,211.963,-1018.358,117.903,111.827,-924.545,86.141,88.301,-1117.779,79.89,192.464,-1064.328,74.986,245.901,-1115.218,65.988,262.932
17,-1050.178,1649.245,358.326,-1001.056,1588.096,430.339,-906.704,1567.33,365.669,-1085.447,1572.325,285.609,-994.051,1547.58,235.751,-912.336,1394.243,237.387,-891.695,1173.894,185.991,-1021.37,1304.195,360.521,-1057.1,1140.732,372.848,-913.633,1297.207,418.571,-797.5,1318.732,297.254,-729.524,1154.075,420.701,-717.838,1063.484,478.379,-764.531,1029.699,424.86,-715.311,870.682,585.641,-795.796,878.748,611.694,-719.768,945.09,553.341,-768.777,810.015,660.602,-718.402,798.793,625.839,-1105.339,1317.911,251.96,-986.774,1331.06,130.045,-1108.188,1201.929,67.996,-1162.056,1078.586,65.145,-1085.681,1050.785,76.97,-1216.736,857.347,76.16,-1236.832,865.409,153.812,-1212.392,959.145,84.834,-1260.197,816.17,142.93,-1239.603,783.736,84.464,-946.614,964.707,405.636,-1087.68,969.671,375.528,-855.396,965.379,245.73,-1133.052,983.451,255.635,-933.247,974.714,172.734,-1010.52,983.844,132.033,-947.689,659.63,461.245,-935.853,473.6,458.041,-1037.246,447.942,412.987,-893.389,334.346,433.435,-918.561,85.23,447.755,-903.998,39.673,371.374,-997.759,40.459,562.656,-1059.671,37.79,489.139,-1075.825,36.053,565.977,-1110.803,627.855,171.754,-1135.296,459.396,249.247,-1066.403,445.68,323.88,-1094.747,275.211,209.111,-1020.097,118.728,109.234,-926.305,87.165,85.677,-1119.678,79.758,189.817,-1066.143,75.105,243.19,-1116.942,65.781,260.225
